pair_ID	sentence_A	sentence_B	relatedness_score	entailment_judgment
1706	a crowd of people standing around a building	a crowd of people standing around a building	0	NEUTRAL
1707	two baseball players are standing on a field	two baseball players are standing on a field	0	NEUTRAL
1708	a traffic light on a pole with a street sign on it	a traffic light on a pole with a street sign on it	0	NEUTRAL
1709	a police officer riding a motorcycle on a city street	a police officer riding a motorcycle on a city street	0	NEUTRAL
1710	a woman sitting at a table with a plate of food	a woman sitting at a table with a plate of food	0	NEUTRAL
1711	a bunch of oranges and apples are on display	a bunch of oranges and oranges on a table	0	NEUTRAL
1712	a car parked on the side of the road	a car parked on the side of the road	0	NEUTRAL
1713	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
1714	the contents of a purse laid out on a table	a table topped with a cell phone and a cell phone	0	NEUTRAL
1715	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
1716	a view of a river with a bridge in the background	a view of a river with a bridge in the background	0	NEUTRAL
1717	a man riding a skateboard down a street	a man riding a skateboard down a street	0	NEUTRAL
1718	a stop sign is on the side of the road	a stop sign is on the side of the road	0	NEUTRAL
1719	a street sign on the side of a road	a street sign on the side of the road	0	NEUTRAL
1720	a table topped with a vase and a vase	a table with a vase and flowers on it	0	NEUTRAL
1721	a red and white bus parked in a parking lot	a red and white bus parked in front of a building	0	NEUTRAL
1722	a man in a suit and tie holding a cell phone	a man in a suit and tie holding a cell phone	0	NEUTRAL
1723	a city bus driving down a street next to a building	a city bus driving down a street next to a building	0	NEUTRAL
1724	a box of donuts and a cup of coffee	a box of donuts and a cup of coffee	0	NEUTRAL
1725	a stop sign is on the corner of a street	a stop sign is on the corner of a street	0	NEUTRAL
1726	a stop sign is on the side of the road	a stop sign is on the side of the road	0	NEUTRAL
1727	a city bus driving down a street next to a building	a city bus driving down a street next to a building	0	NEUTRAL
1728	a fire truck is parked on the street	a fire truck is parked on the street	0	NEUTRAL
1729	a conveyor belt filled with donuts on top of a stove	a conveyor belt filled with donuts on top of a stove	0	NEUTRAL
1730	a display case filled with lots of donuts	a display case filled with lots of donuts	0	NEUTRAL
1731	a truck is parked in a parking lot	a truck is parked in a parking lot	0	NEUTRAL
1732	a man holding a stop sign in front of a car	a man holding a stop sign in front of a car	0	NEUTRAL
1733	a bunch of oranges sitting in a basket	a pile of oranges sitting on top of a table	0	NEUTRAL
1734	a group of people standing next to a small plane	a group of people standing next to a small plane	0	NEUTRAL
1735	a red and white vase with a pink flower	a red and white vase with a pink flower	0	NEUTRAL
1736	an airplane sitting on the tarmac at an airport	an airplane sitting on the tarmac at an airport	0	NEUTRAL
1737	a sign that says UNK UNK on the side of it	a sign that says UNK UNK on the side of it	0	NEUTRAL
1738	a man is playing frisbee in a park	a man is playing frisbee in a park	0	NEUTRAL
1739	a couple of buses parked next to each other	a group of buses parked next to each other	0	NEUTRAL
1740	a yellow fire hydrant sitting on the side of a road	a fire hydrant is on the side of the road	0	NEUTRAL
1741	a red car is driving down a street	a street sign on the corner of a street	0	NEUTRAL
1742	a teddy bear sitting on a computer keyboard	a teddy bear sitting on a computer keyboard	0	NEUTRAL
1743	a young boy is playing a video game	a young boy is playing a video game	0	NEUTRAL
1744	a bus is parked on the side of the street	a bus is parked on the side of the street	0	NEUTRAL
1745	a stop sign on the corner of a street	a stop sign on the corner of a street	0	NEUTRAL
1746	a street sign on the corner of a street	a street sign on the side of the road	0	NEUTRAL
1747	a person riding a dirt bike on a dirt road	a man riding a dirt bike on a dirt road	0	NEUTRAL
1748	a street sign on the corner of a street	a street sign on the side of the road	0	NEUTRAL
1749	a woman sitting at a table with a laptop	a woman sitting at a table with a laptop	0	NEUTRAL
1750	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1751	a man is holding a skateboard in a room	a man is holding a skateboard in a room	0	NEUTRAL
1752	a parking meter is on the side of the road	a parking meter with the word UNK written on it	0	NEUTRAL
1753	a plate with a sandwich and a bowl of soup	a plate with a sandwich and a bowl of soup	0	NEUTRAL
1754	a bus is parked in a parking lot	a bus is parked in a parking lot	0	NEUTRAL
1755	a group of people standing next to each other	a group of people standing in front of a building	0	NEUTRAL
1756	a bus is parked on the side of the street	a bus is parked on the side of the street	0	NEUTRAL
1757	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
1758	two buses are parked in a parking lot	two buses are parked in a parking lot	0	NEUTRAL
1759	a bus driving down a street next to a tall building	a bus driving down a street next to a tall building	0	NEUTRAL
1760	a traffic light on a pole on a city street	a traffic light on a pole on a city street	0	NEUTRAL
1761	a cop riding on the back of a motorcycle	a cop riding on the back of a motorcycle	0	NEUTRAL
1762	a police officer is riding a motorcycle on the street	a police officer is riding a motorcycle on the street	0	NEUTRAL
1763	a city street filled with lots of traffic	a city street filled with lots of traffic	0	NEUTRAL
1764	a man is doing a trick on a skateboard	a man is doing a trick on a skateboard	0	NEUTRAL
1765	a book shelf filled with books and books	a book shelf filled with books and books	0	NEUTRAL
1766	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
1767	a tennis player in a blue shirt is playing tennis	a tennis player in a blue shirt is playing tennis	0	NEUTRAL
1768	a teddy bear with a red bow tie sitting on a chair	a teddy bear with a red bow tie sitting on a couch	0	NEUTRAL
1769	a woman is playing tennis on a tennis court	a woman is playing tennis on a tennis court	0	NEUTRAL
1770	a man riding a wave on top of a surfboard	a man riding a wave on top of a surfboard	0	NEUTRAL
1771	a man is eating a donut with a bite out of it	a man is eating a donut with a bite out of it	0	NEUTRAL
1772	a person on a snowboard in the snow	a person on a snowboard in the snow	0	NEUTRAL
1773	a stop sign on the corner of a street	a stop sign is on the corner of a street	0	NEUTRAL
1774	a person is riding a bike on a street	a person is riding a bike on a street	0	NEUTRAL
1775	a desktop computer sitting on top of a desk	a desktop computer sitting on top of a desk	0	NEUTRAL
1776	an airplane is flying in the sky with its landing gear down	an airplane is flying in the sky with its landing gear down	0	NEUTRAL
1777	a group of people sitting on a beach	a group of people sitting on a beach	0	NEUTRAL
1778	a man playing a game with a remote controller	a young boy is playing a video game	0	NEUTRAL
1779	a bus is parked on the side of the road	a bus is parked on the side of the road	0	NEUTRAL
1780	a refrigerator filled with lots of food and drinks	a refrigerator with a lot of food in it	0	NEUTRAL
1781	a white and blue bus parked in a parking lot	a bus is parked in a parking lot	0	NEUTRAL
1782	a parking meter is on the side of the road	a parking meter is on the side of the street	0	NEUTRAL
1783	a red and white truck parked in a parking lot	a red and white truck parked in a parking lot	0	NEUTRAL
1784	a parking lot filled with lots of cars	a parking lot filled with lots of cars	0	NEUTRAL
1785	a group of people walking down a street with umbrellas	a group of people walking down a street with umbrellas	0	NEUTRAL
1786	a bus is driving down the street in a city	a bus is driving down the street in a city	0	NEUTRAL
1787	a pizza with a lot of toppings on a plate	a pizza with a lot of toppings on a plate	0	NEUTRAL
1788	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1789	a cat sitting on a window sill looking out the window	a cat is sitting on a window sill	0	NEUTRAL
1790	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1791	a hot dog with mustard and ketchup on a plate	a hot dog with mustard and ketchup on a plate	0	NEUTRAL
1792	a car driving down a street next to a traffic light	a car is parked in front of a parking meter	0	NEUTRAL
1793	a white and blue bus parked in a parking lot	a white and blue bus parked on the side of a road	0	NEUTRAL
1794	a cell phone sitting on top of a table	a cell phone sitting on top of a table	0	NEUTRAL
1795	a bathroom with a toilet and a sink	a bathroom with a toilet and a sink	0	NEUTRAL
1796	a plate of food and a bowl of fruit	a tray of food with a bowl of fruit and vegetables	0	NEUTRAL
1797	a glass of wine sitting on a table	a glass of wine sitting on a table	0	NEUTRAL
1798	a sign with a bunch of bananas on it	a sign with a bunch of bananas on it	0	NEUTRAL
1799	a truck is driving down the street in front of a building	a truck is driving down the street in front of a building	0	NEUTRAL
1800	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
1801	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
1802	a pizza sitting on top of a metal pan	a display case filled with lots of food	0	NEUTRAL
1803	a pizza with a lot of toppings on a table	a pizza with a lot of toppings on a table	0	NEUTRAL
1804	a baseball player holding a bat on a field	a baseball player holding a bat on a field	0	NEUTRAL
1805	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
1806	a man is eating a slice of pizza	a man holding a hot dog in his hand	0	NEUTRAL
1807	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
1808	a truck is parked in the snow	a truck is parked on the side of a hill	0	NEUTRAL
1809	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1810	a man walking down a street holding an umbrella	a man walking down a street holding an umbrella	0	NEUTRAL
1811	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
1812	a pizza sitting on top of a white plate	a pizza sitting on top of a white plate	0	NEUTRAL
1813	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1814	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
1815	a stop sign on the side of the road	a stop sign on the side of the road	0	NEUTRAL
1816	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
1817	a woman is riding a horse in the street	a woman is riding a horse in the street	0	NEUTRAL
1818	a city bus driving down a street next to a building	a city bus driving down a street next to a building	0	NEUTRAL
1819	a traffic light with a street sign on top of it	a street sign is shown in front of a building	0	NEUTRAL
1820	a street sign on a pole in a wooded area	a street sign on a pole in a wooded area	0	NEUTRAL
1821	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1822	a bunch of fruits and vegetables are on display	a bunch of fruits and vegetables are on display	0	NEUTRAL
1823	a stop sign is on the side of the road	a stop sign is on the side of the road	0	NEUTRAL
1824	a stop sign with a street sign on top of it	a stop sign with a street sign on top of it	0	NEUTRAL
1825	a man in a suit and tie standing in front of a microphone	a man in a suit and tie standing in front of a microphone	0	NEUTRAL
1826	a man standing in front of a store	a man standing in front of a store	0	NEUTRAL
1827	a teddy bear sitting on top of a book shelf	a teddy bear sitting on top of a book shelf	0	NEUTRAL
1828	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
1829	an old train is parked on the side of the street	a train is parked in a train station	0	NEUTRAL
1830	a sheep is standing in a fenced in area	a herd of sheep standing on top of a lush green field	0	NEUTRAL
1831	a woman holding a tennis racquet on a tennis court	a woman holding a tennis racquet on a tennis court	0	NEUTRAL
1832	a sign that says UNK UNK UNK on the side of it	a sign that says UNK UNK UNK on the side of it	0	NEUTRAL
1833	a red and white bus driving down a street	a red and white bus driving down a street	0	NEUTRAL
1834	a man is standing next to a motorcycle	a man is standing next to a motorcycle	0	NEUTRAL
1835	a bowl of fruit and a cup of coffee	a bowl of fruit and a cup of coffee	0	NEUTRAL
1836	a street sign with a sky background	a street sign with a street sign on top of it	0	NEUTRAL
1837	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1838	a little girl sitting in front of a birthday cake	a little girl sitting in front of a birthday cake	0	NEUTRAL
1839	a baseball player holding a bat on a field	a baseball player holding a bat on a field	0	NEUTRAL
1840	a man is riding a horse drawn carriage	a man is riding a horse drawn carriage	0	NEUTRAL
1841	a motorcycle parked on the side of a street	a motorcycle parked on the side of a street	0	NEUTRAL
1842	a white truck driving down a city street	a white truck driving down a city street	0	NEUTRAL
1843	a man is doing a trick on a skateboard	a man is doing a trick on a skateboard	0	NEUTRAL
1844	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
1845	a man is standing in front of a street sign	a man is standing in front of a street sign	0	NEUTRAL
1846	a parking meter sitting on the side of a road	a parking meter sitting on the side of a road	0	NEUTRAL
1847	two red double decker buses parked next to each other	two red double decker buses parked next to each other	0	NEUTRAL
1848	a group of people sitting at a table	a group of people sitting at a table	0	NEUTRAL
1849	a toothbrush is sitting on a sink	a toothbrush is sitting on a sink	0	NEUTRAL
1850	a street sign on the side of the road	a stop sign is on the side of the road	0	NEUTRAL
1851	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1852	a man riding a skateboard on a ramp	a man riding a skateboard on a ramp	0	NEUTRAL
1853	a stop sign is on the corner of a street	a stop sign is on the corner of a street	0	NEUTRAL
1854	a wooden bench sitting on a sidewalk next to a street	a wooden bench sitting on top of a sidewalk	0	NEUTRAL
1855	a man sitting at a table with a cup of coffee	a man sitting at a table with a cup of coffee	0	NEUTRAL
1856	a red stop sign sitting on the side of a street	a red stop sign sitting on the side of a road	0	NEUTRAL
1857	a table with a laptop and a book on it	a laptop computer sitting on top of a table	0	NEUTRAL
1858	a man in a kitchen preparing food in a kitchen	a man in a kitchen preparing food in a kitchen	0	NEUTRAL
1859	a computer keyboard sitting on top of a desk	a computer keyboard sitting on top of a desk	0	NEUTRAL
1860	a large commercial airplane flying in the sky	a large commercial airplane flying in the sky	0	NEUTRAL
1861	a man riding a skateboard up the side of a ramp	a man riding a skateboard up the side of a ramp	0	NEUTRAL
1862	a truck is parked in a parking lot	a truck is parked in a parking lot	0	NEUTRAL
1863	a box of doughnuts with a bite taken out of it	a box of doughnuts with a bite taken out of it	0	NEUTRAL
1864	a traffic light on a street with a building in the background	a stop sign is on the corner of a street	0	NEUTRAL
1865	a group of people standing around a train station	a group of people standing around a train station	0	NEUTRAL
1866	a car is parked in front of a car	a car is parked in front of a car	0	NEUTRAL
1867	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
1868	a chocolate cake with a fork on a plate	a chocolate cake with a fork on a plate	0	NEUTRAL
1869	a group of buses parked in a parking lot	a group of buses parked in a parking lot	0	NEUTRAL
1870	a city bus driving down the street	a city bus driving down the street	0	NEUTRAL
1871	a parking meter on the side of a street	a street sign on the side of the road	0	NEUTRAL
1872	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1873	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1874	a street sign with a street sign on top of it	two street signs on a pole in front of a building	0	NEUTRAL
1875	a man is standing in front of a store window	a man standing in front of a store window	0	NEUTRAL
1876	a woman is playing tennis on a tennis court	a woman is playing tennis on a tennis court	0	NEUTRAL
1877	a bus driving down a street next to a building	a bus is driving down the street in a city	0	NEUTRAL
1878	a computer keyboard and mouse on a desk	a laptop computer sitting on top of a desk	0	NEUTRAL
1879	a group of people standing on top of a snow covered slope	a group of people standing on top of a snow covered slope	0	NEUTRAL
1880	a street sign on the side of the road	a street sign on a pole on a street	0	NEUTRAL
1881	a street sign on the corner of a street	a street sign on the side of a street	0	NEUTRAL
1882	a group of people standing around a table filled with food	a group of people standing around a table filled with food	0	NEUTRAL
1883	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1884	a bus is driving down the street in the city	a city bus driving down the street	0	NEUTRAL
1885	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1886	a city street filled with lots of traffic	a city street filled with lots of traffic	0	NEUTRAL
1887	a laptop computer sitting on top of a desk	a laptop computer sitting on top of a desk	0	NEUTRAL
1888	a kitchen with a table and chairs in it	a kitchen with a table and chairs in it	0	NEUTRAL
1889	a red fire hydrant sitting on the side of a road	a red fire hydrant sitting on the side of a road	0	NEUTRAL
1890	a couple of teddy bears sitting on top of a table	a couple of teddy bears sitting next to each other	0	NEUTRAL
1891	a street sign on the corner of a street	a street sign on the corner of a street	0	NEUTRAL
1892	a park with a bench and a tree	a park bench is in the middle of a field	0	NEUTRAL
1893	a train that is sitting on the tracks	a train that is sitting on the tracks	0	NEUTRAL
1894	a living room with a table and chairs	a living room with a table and chairs	0	NEUTRAL
1895	a herd of animals grazing on a lush green field	a herd of animals grazing on a lush green field	0	NEUTRAL
1896	a laptop computer sitting on top of a desk	a laptop computer sitting on top of a desk	0	NEUTRAL
1897	a man is flying a kite on the beach	a man is flying a kite on the beach	0	NEUTRAL
1898	a truck is parked on the side of the street	a truck is parked on the side of the street	0	NEUTRAL
1899	a black cat sitting on top of a suitcase	a black cat sitting on top of a suitcase	0	NEUTRAL
1900	a cat is laying on the floor next to a remote control	a cat is laying on top of a remote control	0	NEUTRAL
1901	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1902	a clock on the side of a building	a clock on the side of a building	0	NEUTRAL
1903	a computer keyboard sitting on top of a desk	a computer keyboard sitting on top of a desk	0	NEUTRAL
1904	a group of people sitting on a beach	a group of people sitting on a beach	0	NEUTRAL
1905	a white microwave oven sitting on top of a counter	a white microwave oven sitting on top of a counter	0	NEUTRAL
1906	a white bus is driving down the street	a white bus is driving down the street	0	NEUTRAL
1907	a bus is driving down the street in a city	a bus is driving down the street in a city	0	NEUTRAL
1908	a street sign on the side of the road	a street sign on the side of the road	0	NEUTRAL
1909	a room with a bed and a window	a room with a bed and a window	0	NEUTRAL
1910	a computer desk with a computer monitor and keyboard	a computer desk with a computer monitor and keyboard	0	NEUTRAL
1911	a parking meter is on the side of the road	a parking meter is on the side of the road	0	NEUTRAL
1912	a desk with a computer monitor and keyboard	a desk with a laptop and a monitor	0	NEUTRAL
1913	a woman is cutting a cake with a knife	a woman is cutting a cake with a knife	0	NEUTRAL
1914	a stop sign is on the corner of a street	a stop sign is on the corner of a street	0	NEUTRAL
1915	a man and a woman sitting at a table	a man and a woman sitting at a table with food	0	NEUTRAL
1916	a street sign on a pole on a city street	a street sign on the side of the road	0	NEUTRAL
1917	a dog laying on the ground with a frisbee in its mouth	a dog laying on the ground with a frisbee in its mouth	0	NEUTRAL
1918	a plate of food with a sandwich and fries	a plate of food with a sandwich and fries	0	NEUTRAL
1919	a man is sitting on the side of a street	a man is sitting on the side of a street	0	NEUTRAL
1920	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
1921	a man is standing in the snow with a snowboard	a man is standing in the snow with a snowboard	0	NEUTRAL
1922	a large jetliner sitting on top of an airport tarmac	a large jetliner sitting on top of an airport runway	0	NEUTRAL
1923	a red and white bus parked in front of a building	a red and white bus parked in front of a building	0	NEUTRAL
1924	a table topped with a plate of food and a cup of coffee	a table topped with a plate of food and a cup of coffee	0	NEUTRAL
1925	a wooden bench sitting in front of a window	a wooden table with a chair and a chair in it	0	NEUTRAL
1926	a display of fruit and vegetables on display	a display of fruit and vegetables on display	0	NEUTRAL
1927	a red and white bus parked in a parking lot	a red and white bus parked in a parking lot	0	NEUTRAL
1928	a dog laying on a couch with a remote control	a dog sitting on a couch with a remote control	0	NEUTRAL
1929	a street sign is shown in front of a building	a street sign is shown in front of a building	0	NEUTRAL
1930	a clock on a wall in a room	a book shelf with a clock and a book	0	NEUTRAL
1931	a baseball game in progress with the batter up to plate	a baseball game in progress with the batter up to plate	0	NEUTRAL
1932	a street sign on the corner of a street	a street sign on a pole on a city street	0	NEUTRAL
1933	a parking meter is on the side of the road	a parking meter with a sign on it	0	NEUTRAL
1934	a man is playing tennis on a tennis court	a man is playing tennis on a tennis court	0	NEUTRAL
1935	a piece of cake is on a white plate	a piece of cake is on a white plate	0	NEUTRAL
1936	a man standing in front of a bus	a man standing in front of a bus	0	NEUTRAL
1937	a black cat is sitting on a bench	a black cat is sitting on a bench	0	NEUTRAL
1938	a red stop sign sitting on the side of a road	a stop sign in the middle of a forest	0	NEUTRAL
1939	a woman standing in front of a display of donuts	a woman standing in front of a display of donuts	0	NEUTRAL
1940	a large airplane sitting on top of an airport tarmac	a large jetliner sitting on top of an airport tarmac	0	NEUTRAL
1941	a stop sign on the side of the road	a stop sign on the side of the road	0	NEUTRAL
1942	a yellow and black train is on the tracks	a yellow and black train is on the tracks	0	NEUTRAL
1943	a street sign on the side of a building	a street sign on the side of a building	0	NEUTRAL
1944	a city bus driving down a street next to a building	a city bus driving down the street	0	NEUTRAL
1945	a small dog on a surfboard in the water	a small dog on a surfboard in the water	0	NEUTRAL
1946	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1947	a red and white train on a train track	a red and white train on a train track	0	NEUTRAL
1948	a group of men standing next to each other	a group of men standing next to each other	0	NEUTRAL
1949	a bus is parked on the side of the street	a bus is parked on the side of the street	0	NEUTRAL
1950	a man riding a motorcycle down a street	a man riding a motorcycle on a track	0	NEUTRAL
1951	a dog sitting on a couch in front of a tv	a dog sitting on a couch in front of a tv	0	NEUTRAL
1952	a group of people standing in a room	a group of people standing in a room	0	NEUTRAL
1953	a man and a woman riding a motorcycle	a man and a woman riding a motorcycle	0	NEUTRAL
1954	a stop sign is on the corner of a street	a stop sign is on the corner of a street	0	NEUTRAL
1955	a close up of a pizza on a table	a close up of a pizza on a table	0	NEUTRAL
1956	a large jetliner sitting on top of an airport runway	a large jetliner sitting on top of an airport runway	0	NEUTRAL
1957	a group of people walking down a street	a group of people walking down a street	0	NEUTRAL
1958	a person holding a cell phone in their hand	a person holding a cell phone in their hand	0	NEUTRAL
1959	a woman is playing tennis on a tennis court	a woman is playing tennis on a tennis court	0	NEUTRAL
1960	a man riding a bike down a street	a man riding a bike down a street	0	NEUTRAL
1961	a woman is playing tennis on a tennis court	a woman is playing tennis on a tennis court	0	NEUTRAL
1962	a plate of food with a fork on a table	a plate of food with a fork on a table	0	NEUTRAL
1963	a man holding a cell phone in his hand	a man holding a cell phone in his hand	0	NEUTRAL
1964	a red double decker bus driving down a street	a red double decker bus driving down a street	0	NEUTRAL
1965	a small stuffed animal is sitting on a table	a small stuffed animal is sitting on a table	0	NEUTRAL
1966	a tennis player in a white shirt is playing tennis	a tennis player in a white shirt is playing tennis	0	NEUTRAL
1967	a man standing on the side of a street	a man is standing in front of a bus	0	NEUTRAL
1968	a fire truck is parked on the side of the street	a fire truck is parked on the side of the street	0	NEUTRAL
1969	a black and white photo of a train on a track	a black and white photo of a train on a track	0	NEUTRAL
1970	a stop sign and a street sign on a pole	a stop sign and a street sign on a pole	0	NEUTRAL
1971	a motorcycle parked in a garage with a door	a motorcycle parked in a garage with a door	0	NEUTRAL
1972	a group of people standing next to each other	a group of people standing around a bunch of bananas	0	NEUTRAL
1973	a red and white train traveling down train tracks	a red and white train traveling down train tracks	0	NEUTRAL
1974	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
1975	a red stop sign sitting on the side of a road	a red stop sign sitting on the side of a road	0	NEUTRAL
1976	a doughnut with a bite taken out of it	a doughnut with a bite taken out of it	0	NEUTRAL
1977	a man is standing next to an elephant	a man is standing next to an elephant	0	NEUTRAL
1978	an old airplane is parked on a runway	a large airplane sitting on top of a runway	0	NEUTRAL
1979	a parking meter on the side of a street	a parking meter on a city street with a building in the background	0	NEUTRAL
1980	a car is parked on the side of the street	a car is parked on the side of the street	0	NEUTRAL
1981	a bunch of fruits and vegetables on a table	a bunch of fruit and vegetables are on a table	0	NEUTRAL
1982	a red fire hydrant sitting on the side of a road	a red fire hydrant sitting on the side of a road	0	NEUTRAL
1983	a man is preparing food in a kitchen	a young boy is preparing food in a kitchen	0	NEUTRAL
1984	a fruit stand with a variety of fruits	a fruit stand with a variety of fruits	0	NEUTRAL
1985	a group of people standing around a large clock	a crowd of people standing around a clock	0	NEUTRAL
1986	a woman standing on a sidewalk next to a fire hydrant	a woman standing on a sidewalk with a cell phone	0	NEUTRAL
1987	a bunch of bananas on a table next to a book	a bunch of bananas on a table next to a book	0	NEUTRAL
1988	a cell phone sitting on top of a table	a cell phone sitting on top of a table	0	NEUTRAL
1989	a red and white bus parked in front of a building	a red and white bus parked in front of a building	0	NEUTRAL
1990	a black and white photo of a bird on a tree branch	a picture of a person in a black and white photo	0	NEUTRAL
1991	a yellow and black train is on the tracks	a red and white train on the tracks	0	NEUTRAL
1992	a plate of donuts and a cup of coffee	a plate of donuts and a cup of coffee	0	NEUTRAL
1993	a UNK UNK with a bunch of UNK on it	a white and blue book shelf with a pair of scissors	0	NEUTRAL
1994	a woman sitting at a table with a plate of food	a woman sitting at a table with a cake	0	NEUTRAL
1995	a woman is playing tennis on a tennis court	a woman is playing tennis on a tennis court	0	NEUTRAL
1996	a black and white photo of a train on a track	a black and white photo of a train on a track	0	NEUTRAL
1997	a woman is sitting on the ground with a snowboard	a woman sitting on a bench with a snowboard	0	NEUTRAL
1998	a red and white bus parked in a parking lot	a red and white bus parked in a parking lot	0	NEUTRAL
1999	a woman holding a box of donuts in a kitchen	a woman is holding a donut in a box	0	NEUTRAL
2000	a man is standing on a street with a bicycle	a man is standing next to a bicycle	0	NEUTRAL
2001	a man is riding a bike in the street	a man riding a bike with a dog on it	0	NEUTRAL
2002	a man standing in front of a bus	a man standing in front of a bus	0	NEUTRAL
2003	a street sign and a traffic light on a pole	a street sign on a pole on a city street	0	NEUTRAL
2004	a black and white photo of a clock tower	a street sign on a pole with a sky background	0	NEUTRAL
2005	a kitchen filled with lots of pots and pans	a kitchen filled with lots of pots and pans	0	NEUTRAL
2006	a red car parked on the side of a street	a red car parked on the side of the street	0	NEUTRAL
2007	a double decker bus is parked on the street	a double decker bus is parked on the street	0	NEUTRAL
2008	a stop sign with a street sign on top of it	a stop sign with a street sign on top of it	0	NEUTRAL
2009	a bus is parked on the side of the street	a bus is parked on the side of the street	0	NEUTRAL
2010	a cat is sitting on top of a tv	a cat is sitting on top of a tv	0	NEUTRAL
2011	a computer keyboard sitting on a desk next to a mouse	a computer keyboard sitting on top of a desk	0	NEUTRAL
2012	a birthday cake with a UNK on top	a birthday cake with a UNK on top	0	NEUTRAL
2013	a man holding a frisbee in his hand	a person holding a frisbee in a park	0	NEUTRAL
2014	a book sitting on top of a wooden bench	a book sitting on top of a wooden bench	0	NEUTRAL
2015	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
2016	a stop sign and a street sign on a pole	a stop sign and a street sign on a pole	0	NEUTRAL
2017	a group of young boys playing baseball on a field	a group of baseball players standing next to each other	0	NEUTRAL
2018	a man sitting in front of a laptop computer	a man sitting in front of a laptop computer	0	NEUTRAL
2019	a street sign on the side of a street	a street sign on a pole on a street	0	NEUTRAL
2020	a parking lot with cars parked on the side	a parking lot with cars parked on the side	0	NEUTRAL
2021	a boat is sitting in the water	a boat is sitting in the water	0	NEUTRAL
2022	a man standing in front of a stop sign	a man is standing in front of a stop sign	0	NEUTRAL
2023	a large building with a large clock tower	a large building with a large clock tower	0	NEUTRAL
2024	a cat is sitting on a chair in a room	a cat is sitting on a chair in a room	0	NEUTRAL
2025	a group of people riding motorcycles down a street	a group of people riding motorcycles down a street	0	NEUTRAL
2026	a red stop sign sitting on the side of a road	a stop sign with a sticker on it	0	NEUTRAL
2027	a book shelf filled with lots of books	a book shelf filled with lots of books	0	NEUTRAL
2028	a street sign on a pole on a city street	a street sign on a pole on a city street	0	NEUTRAL
2029	a display case filled with lots of donuts	a display case filled with lots of donuts	0	NEUTRAL
2030	a man holding a baseball bat on a field	a man in a baseball uniform holding a bat	0	NEUTRAL
2031	an airplane is parked in a hanger with a man standing in front of it	a small airplane sitting on top of a runway	0	NEUTRAL
2032	a group of people riding motorcycles on a city street	a group of people riding motorcycles on a city street	0	NEUTRAL
2033	a hot dog on a bun with mustard and ketchup	a hot dog on a bun with mustard and ketchup	0	NEUTRAL
2034	an airplane sitting on the tarmac at an airport	an airplane sitting on the tarmac at an airport	0	NEUTRAL
2035	a man holding a teddy bear in a room	a man holding a teddy bear in a store	0	NEUTRAL
2036	a bike parked on the side of the street	a bike parked on the side of the street	0	NEUTRAL
2037	a bus is parked on the side of the road	a bus is parked on the side of the road	0	NEUTRAL
2038	a group of people walking down a street	a group of people walking down a street with umbrellas	0	NEUTRAL
2039	a man sitting on a couch in a living room	a man sitting on a couch in a living room	0	NEUTRAL
